,Stanowisko,Szacunkowe Wynagrodzenie,Nazwa Firmy,Lokacja-Miasto,Lokacja-Stan,Minimalne Wyn. Roczne,Maksymalne Wyn. Roczne,Średnie Wyn. Roczne,Branża,Sektor,Przychód
400,Sr Data Analyst - IT,$52K-$93K (Glassdoor est.),United BioSource,Blue Bell,PA,52000,93000,72500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD)
401,Senior Data Engineer,$97K-$181K (Glassdoor est.),Figure Eight,San Francisco,CA,97000,181000,139000.0,Computer Hardware & Software,Information Technology,$10 to $25 million (USD)
402,Senior Data Engineer,$100K-$173K (Glassdoor est.),Tapjoy,San Francisco,CA,100000,173000,136500.0,Internet,Information Technology,$10 to $25 million (USD)
403,Associate Machine Learning Engineer / Data Scientist May 2020 Undergrad,$53K-$96K (Glassdoor est.),Fareportal,New York,NY,53000,96000,74500.0,Travel Agencies,Travel & Tourism,$2 to $5 billion (USD)
404,Senior Scientist - Biostatistician,$65K-$96K (Glassdoor est.),Reynolds American,Winston-Salem,NC,65000,96000,80500.0,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
405,Data Scientist,$56K-$95K (Glassdoor est.),Sartorius,Albuquerque,NM,56000,95000,75500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD)
406,Data Scientist,$111K-$176K (Glassdoor est.),1904labs,Saint Louis,MO,111000,176000,143500.0,IT Services,Information Technology,Unknown / Non-Applicable
407,Data Scientist,$75K-$127K (Glassdoor est.),Royce Geospatial,Springfield,VA,75000,127000,101000.0,Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD)
408,Data Engineer,$65K-$119K (Glassdoor est.),MassMutual,Springfield,MA,65000,119000,92000.0,Insurance Carriers,Insurance,$10+ billion (USD)
409,Computational Chemist/Data Scientist,$56K-$97K (Glassdoor est.),PNNL,Richland,WA,56000,97000,76500.0,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD)
410,Principal Data Scientist (Computational Chemistry),$108K-$173K (Glassdoor est.),Recursion Pharmaceuticals,Salt Lake City,UT,108000,173000,140500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD)
